Country,Share_of_World
China,32.88%
United States,12.60%
India,6.99%
Russia,4.96%
Japan,2.81%
Indonesia,1.80%
Iran,1.78%
Germany,1.75%
South Korea,1.65%
Saudi Arabia,1.58%
Canada,1.51%
Mexico,1.27%
Turkey,1.25%
Brazil,1.21%
South Africa,1.05%
Australia,1.02%
United Kingdom,0.88%
Vietnam,0.85%
Italy,0.84%
Poland,0.84%
France,0.82%
Thailand,0.73%
Malaysia,0.72%
Taiwan,0.72%
Egypt,0.69%
Spain,0.66%
Kazakhstan,0.64%
United Arab Emirates,0.57%
Pakistan,0.52%
Iraq,0.50%
Argentina,0.48%
Algeria,0.46%
Philippines,0.40%
Netherlands,0.35%
Ukraine,0.34%
Uzbekistan,0.34%
Nigeria,0.32%
Kuwait,0.29%
Bangladesh,0.28%
Qatar,0.27%
Czech Republic (Czechia),0.26%
Venezuela,0.25%
Chile,0.24%
Oman,0.24%
Belgium,0.23%
Colombia,0.23%
Romania,0.20%
Morocco,0.19%
Turkmenistan,0.18%
Libya,0.16%
Israel,0.16%
Peru,0.16%
Austria,0.16%
Belarus,0.15%
Greece,0.15%
North Korea,0.14%
Singapore,0.14%
Bulgaria,0.13%
Hungary,0.12%
Ecuador,0.12%
Norway,0.11%
Portugal,0.11%
Bahrain,0.10%
Sweden,0.10%
Ireland,0.10%
Myanmar,0.10%
Finland,0.10%
Azerbaijan,0.10%
Switzerland,0.09%
Tunisia,0.09%
Slovakia,0.09%
Hong Kong,0.08%
New Zealand,0.08%
Trinidad and Tobago,0.08%
Denmark,0.08%
Syria,0.07%
Cuba,0.06%
Sudan,0.06%
Ghana,0.06%
Lebanon,0.06%
Jordan,0.06%
Dominican Republic,0.06%
Mongolia,0.06%
Bolivia,0.06%
Bosnia and Herzegovina,0.06%
Kenya,0.06%
Ethiopia,0.05%
Angola,0.05%
Laos,0.05%
Guatemala,0.05%
Sri Lanka,0.05%
Cambodia,0.05%
Croatia,0.04%
Tanzania,0.04%
Nepal,0.04%
Côte d'Ivoire,0.04%
Slovenia,0.04%
Lithuania,0.03%
Puerto Rico,0.03%
Yemen,0.03%
Senegal,0.03%
Georgia,0.03%
Panama,0.03%
Estonia,0.03%
Honduras,0.03%
Tajikistan,0.03%
Kyrgyzstan,0.03%
Zimbabwe,0.03%
Cameroon,0.03%
Mozambique,0.03%
Paraguay,0.03%
Benin,0.02%
Brunei,0.02%
Zambia,0.02%
Moldova,0.02%
Costa Rica,0.02%
Uruguay,0.02%
North Macedonia,0.02%
Botswana,0.02%
El Salvador,0.02%
Luxembourg,0.02%
Uganda,0.02%
Cyprus,0.02%
Congo,0.02%
Mali,0.02%
Latvia,0.02%
Armenia,0.02%
Jamaica,0.02%
Burkina Faso,0.02%
Nicaragua,0.01%
Afghanistan,0.01%
Malawi,0.01%
Gabon,0.01%
New Caledonia,0.01%
Equatorial Guinea,0.01%
Papua New Guinea,0.01%
Mauritania,0.01%
Albania,0.01%
Namibia,0.01%
Mauritius,0.01%
Guyana,0.01%
Guinea,0.01%
Iceland,0.01%
DR Congo,0.01%
Haiti,0.01%
Suriname,0.01%
Madagascar,0.01%
Réunion,0.01%
Niger,0.01%
Togo,0.01%
Macao,0.01%
Maldives,0.01%
Chad,0.01%
Malta,0.00%
Bhutan,0.00%
Fiji,0.00%
Rwanda,0.00%
Liberia,0.00%
Bahamas,0.00%
Palau,0.00%
Eswatini,0.00%
Sierra Leone,0.00%
Seychelles,0.00%
Cabo Verde,0.00%
French Polynesia,0.00%
Somalia,0.00%
Burundi,0.00%
Guadeloupe,0.00%
Martinique,0.00%
Eritrea,0.00%
Lesotho,0.00%
Djibouti,0.00%
Barbados,0.00%
Gibraltar,0.00%
Gambia,0.00%
Timor-Leste,0.00%
Greenland,0.00%
Aruba,0.00%
Samoa,0.00%
French Guiana,0.00%
Guinea-Bissau,0.00%
Comoros,0.00%
Solomon Islands,0.00%
Bermuda,0.00%
Cayman Islands,0.00%
Antigua and Barbuda,0.00%
Central African Republic,0.00%
Belize,0.00%
Saint Lucia,0.00%
Western Sahara,0.00%
Vanuatu,0.00%
Tonga,0.00%
Sao Tome & Principe,0.00%
Grenada,0.00%
Cook Islands,0.00%
Saint Kitts & Nevis,0.00%
Turks and Caicos,0.00%
St. Vincent & Grenadines,0.00%
Kiribati,0.00%
Dominica,0.00%
British Virgin Islands,0.00%
Saint Pierre & Miquelon,0.00%
Anguilla,0.00%
Falkland Islands,0.00%
Saint Helena,0.00%
Faeroe Islands,0.00%
